layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,eff_rank_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
1,5,subspace_k64_fixed,64,8,512,4bit_budget,18,2.6217750728131083e-06,0.001236659273068924,1.2963265167986325e-06,0.0012298628409403288,0.69921875
1,5,subspace_adaptive,18,28,504,4bit_budget,18,1.1437187388626835e-05,0.0026128993769355072,5.681275713013893e-06,0.00260486274230202,0.421875
1,6,full_dim,128,2,256,2bit_budget,14,4.363264656682817e-05,0.005042596174179639,2.173971748646989e-05,0.00503279180008848,0.44140625
1,6,subspace_k64_fixed,64,4,256,2bit_budget,14,4.847595753667484e-06,0.001670600604075995,2.3966079883570386e-06,0.0016611931030482059,0.75
1,6,subspace_adaptive,14,18,252,2bit_budget,14,1.587422288117287e-05,0.0030068166019539206,7.874409467125735e-06,0.0029900006340254697,0.60546875
1,6,full_dim,128,4,512,4bit_budget,14,1.7184550044736415e-06,0.0010076066916423084,8.572575219030484e-07,0.0010068383891098636,0.80078125
1,6,subspace_k64_fixed,64,8,512,4bit_budget,14,2.936413581681928e-06,0.001316753102585672,1.44623817038958e-06,0.0013061344192499518,0.76953125
1,6,subspace_adaptive,14,37,518,4bit_budget,14,0.00044954392051893647,0.016678630020305486,8.14772455930405e-05,0.009428547522639654,0.0
1,7,full_dim,128,2,256,2bit_budget,26,5.5963544971426675e-05,0.00586258092089092,2.7849303338759656e-05,0.00585070662627066,0.38671875
1,7,subspace_k64_fixed,64,4,256,2bit_budget,26,6.485591229669253e-06,0.0019640182646236265,3.19017696675131e-06,0.0019468794454712782,0.70703125
1,7,subspace_adaptive,26,10,260,2bit_budget,26,2.5828725883978377e-05,0.0039288679977565666,1.2868300717757552e-05,0.003921042274670437,0.52734375
1,7,full_dim,128,4,512,4bit_budget,26,2.385048925829266e-06,0.0012015622382165643,1.1886602079746898e-06,0.001200149787447464,0.859375
1,7,subspace_k64_fixed,64,8,512,4bit_budget,26,4.18251119197304e-06,0.0015615776327744385,2.0561117617441924e-06,0.0015480707139830052,0.7734375
1,7,subspace_adaptive,26,20,520,4bit_budget,26,2.5827494078002342e-05,0.003928662092781865,1.2867622439273328e-05,0.0039208708749289296,0.52734375
2,0,full_dim,128,2,256,2bit_budget,11,0.0002709857461982531,0.012433543803724932,0.00013533417336992283,0.0124204464975012,0.40625
2,0,subspace_k64_fixed,64,4,256,2bit_budget,11,2.0395058636626235e-05,0.003424145258232936,1.0142218395611119e-05,0.003416735476356988,0.73828125
2,0,subspace_adaptive,11,23,253,2bit_budget,11,9.91127229763651e-05,0.007408833837507823,4.924252448767707e-05,0.007385127693287313,0.47265625
2,0,full_dim,128,4,512,4bit_budget,11,1.0349853331253409e-05,0.002448498127323803,5.163984415871116e-06,0.002446369655560924,0.8125
2,0,subspace_k64_fixed,64,8,512,4bit_budget,11,1.048807881572365e-05,0.0024774414658466897,5.186030275436888e-06,0.00246309508170494,0.79296875
2,0,subspace_adaptive,11,47,517,4bit_budget,11,0.004516541899745421,0.05231690878177754,0.0005398124920358075,0.023597301275635488,0.0
2,1,full_dim,128,2,256,2bit_budget,15,0.0001391427330521194,0.008810721524122711,6.94556690445405e-05,0.008800802305311797,0.41015625
2,1,subspace_k64_fixed,64,4,256,2bit_budget,15,1.87840522337669e-05,0.0032490551538579644,9.357488241837888e-06,0.0032434921584869,0.73828125
2,1,subspace_adaptive,15,17,255,2bit_budget,15,6.47709856295266e-05,0.006022496317684308,3.216735166556675e-05,0.006003702136525301,0.51171875
2,1,full_dim,128,4,512,4bit_budget,15,5.519289044162705e-06,0.0017724632841783247,2.7501843677995924e-06,0.0017687313184999347,0.81640625
2,1,subspace_k64_fixed,64,8,512,4bit_budget,15,1.3245506416195954e-05,0.0027486675692656825,6.585191591093973e-06,0.0027424937726521145,0.7578125
2,1,subspace_adaptive,15,34,510,4bit_budget,15,0.006789572526380128,0.0639128322444542,0.00030533013097724286,0.017676568723695354,0.0
2,2,full_dim,128,2,256,2bit_budget,22,8.526935043837468e-05,0.0070952152040663,4.230231764840101e-05,0.007065960275839297,0.28515625
2,2,subspace_k64_fixed,64,4,256,2bit_budget,22,1.3147597163146555e-05,0.0027832742667747937,6.555206423121308e-06,0.002780217600113608,0.66015625
2,2,subspace_adaptive,22,12,264,2bit_budget,22,3.3061815427985376e-05,0.004402012073906186,1.6443387539173873e-05,0.00438805224158004,0.4453125
2,2,full_dim,128,4,512,4bit_budget,22,3.2615182607774367e-06,0.0013856702444593478,1.6217504979199786e-06,0.0013812835059191027,0.8203125
2,2,subspace_k64_fixed,64,8,512,4bit_budget,22,1.0046374910745117e-05,0.0024273414600859185,5.009063155282752e-06,0.002424519773908471,0.6796875
2,2,subspace_adaptive,22,23,506,4bit_budget,22,3.305937076954521e-05,0.004401875715197211,1.6442064569169093e-05,0.004387895742093537,0.4453125
2,3,full_dim,128,2,256,2bit_budget,20,0.0001939774962342142,0.010587323127696002,9.669653281840299e-05,0.01056927998838284,0.40625
2,3,subspace_k64_fixed,64,4,256,2bit_budget,20,2.776529214904171e-05,0.004029573044354447,1.384383799388605e-05,0.004021748991123044,0.6796875
2,3,subspace_adaptive,20,13,260,2bit_budget,20,7.205410583590764e-05,0.006403626798664906,3.578970531333565e-05,0.006379750138958293,0.55859375
2,3,full_dim,128,4,512,4bit_budget,20,7.1223706036359565e-06,0.0020441973392814673,3.5180812078896768e-06,0.0020363212215862873,0.8671875
2,3,subspace_k64_fixed,64,8,512,4bit_budget,20,2.0237056283732733e-05,0.003445291242310863,1.0085695730805304e-05,0.0034379754734054626,0.6953125
2,3,subspace_adaptive,20,26,520,4bit_budget,20,7.205230894140355e-05,0.006403560352919781,3.5788715072376044e-05,0.006379682049838112,0.55859375
2,4,full_dim,128,2,256,2bit_budget,27,8.909713079165025e-05,0.007244686618063026,4.4432822748410014e-05,0.007232425440211495,0.30859375
2,4,subspace_k64_fixed,64,4,256,2bit_budget,27,1.8113030639440747e-05,0.0032710067485766433,8.99374475773514e-06,0.00325970394027022,0.6328125
2,4,subspace_adaptive,27,9,243,2bit_budget,27,3.479851471600793e-05,0.004534095647769656,1.7254066706331117e-05,0.004516651374572761,0.4375
2,4,full_dim,128,4,512,4bit_budget,27,3.3381647799529416e-06,0.0013993542517848775,1.6622176283437352e-06,0.0013959150870243788,0.86328125
