config,position,loss,ppl
baseline,442,0.006603240966796875,1.0068359375
baseline,443,0.0233154296875,1.0234375
baseline,444,0.338623046875,1.4033203125
baseline,445,14.109375,inf
baseline,446,2.400390625,11.03125
baseline,447,0.017730712890625,1.017578125
baseline,448,1.740234375,5.69921875
baseline,449,5.7890625,326.75
baseline,450,1.8359375,6.26953125
baseline,451,7.953125,2844.0
baseline,452,0.064453125,1.06640625
baseline,453,2.228515625,9.2890625
baseline,454,0.79052734375,2.205078125
baseline,455,4.76171875,116.9375
baseline,456,0.155029296875,1.16796875
baseline,457,0.425048828125,1.529296875
baseline,458,0.2271728515625,1.2548828125
baseline,459,9.1640625,9544.0
baseline,460,0.00021564960479736328,1.0
baseline,461,-0.0,1.0
baseline,462,2.26953125,9.671875
baseline,463,0.00021159648895263672,1.0
baseline,464,1.45703125,4.29296875
baseline,465,0.8642578125,2.373046875
baseline,466,0.58837890625,1.80078125
baseline,467,0.9609375,2.61328125
baseline,468,1.0390625,2.826171875
baseline,469,5.6484375,283.75
baseline,470,0.2919921875,1.3388671875
baseline,471,3.5762786865234375e-07,1.0
baseline,472,0.309326171875,1.3623046875
baseline,473,4.55859375,95.4375
baseline,474,2.681640625,14.609375
baseline,475,0.289306640625,1.3359375
baseline,476,6.23046875,508.0
baseline,477,0.001739501953125,1.001953125
baseline,478,2.19140625,8.9453125
baseline,479,0.1278076171875,1.13671875
baseline,480,0.1611328125,1.1748046875
baseline,481,1.4404296875,4.22265625
baseline,482,11.65625,inf
baseline,483,0.67041015625,1.955078125
baseline,484,9.9296875,20528.0
baseline,485,0.111328125,1.1181640625
baseline,486,0.31298828125,1.3671875
baseline,487,0.0244903564453125,1.0244140625
baseline,488,0.0004010200500488281,1.0
baseline,489,0.07220458984375,1.0751953125
baseline,490,1.642578125,5.16796875
baseline,491,0.7685546875,2.15625
baseline,492,0.307861328125,1.3603515625
baseline,493,10.1875,26576.0
baseline,494,6.65625,777.5
baseline,495,0.0780029296875,1.0810546875
baseline,496,0.398681640625,1.490234375
baseline,497,1.087890625,2.96875
baseline,498,11.90625,inf
baseline,499,0.59326171875,1.8095703125
baseline,500,1.3271484375,3.76953125
baseline,501,6.6953125,808.5
baseline,502,0.07635498046875,1.0791015625
baseline,503,6.67572021484375e-06,1.0
baseline,504,2.31640625,10.140625
baseline,505,4.61328125,100.8125
baseline,506,4.28125,72.3125
baseline,507,1.5380859375,4.65625
baseline,508,2.482421875,11.96875
baseline,509,12.046875,inf
baseline,510,0.556640625,1.7451171875
baseline,511,0.9072265625,2.4765625
baseline,512,2.97265625,19.546875
baseline,513,0.0237884521484375,1.0244140625
baseline,514,1.7890625,5.984375
baseline,515,0.0455322265625,1.046875
baseline,516,1.0966796875,2.994140625
baseline,517,0.00013065338134765625,1.0
baseline,518,0.303955078125,1.35546875
baseline,519,1.5048828125,4.50390625
baseline,520,7.53125,1865.0
baseline,521,3.017578125,20.4375
baseline,522,0.10552978515625,1.111328125
