reference,compare,layer,head,kv_type,overlap,n_principal_angles,mean_cos2
early,mid_late,30,6,V,0.6875291466712952,64,0.6875291466712952
early,mid_late,30,7,K,0.7595412135124207,64,0.7595412135124207
early,mid_late,30,7,V,0.6101048588752747,64,0.6101048588752747
early,mid_late,31,0,K,0.7787978649139404,64,0.7787978649139404
early,mid_late,31,0,V,0.6732974648475647,64,0.6732974648475647
early,mid_late,31,1,K,0.9080347418785095,64,0.9080347418785095
early,mid_late,31,1,V,0.7447960376739502,64,0.7447960376739502
early,mid_late,31,2,K,0.863827109336853,64,0.863827109336853
early,mid_late,31,2,V,0.6872925758361816,64,0.6872925758361816
early,mid_late,31,3,K,0.789605438709259,64,0.789605438709259
early,mid_late,31,3,V,0.6783305406570435,64,0.6783305406570435
early,mid_late,31,4,K,0.9122477769851685,64,0.9122477769851685
early,mid_late,31,4,V,0.7525104284286499,64,0.7525104284286499
early,mid_late,31,5,K,0.7948662042617798,64,0.7948662042617798
early,mid_late,31,5,V,0.6564157605171204,64,0.6564157605171204
early,mid_late,31,6,K,0.7497915029525757,64,0.7497915029525757
early,mid_late,31,6,V,0.7233418822288513,64,0.7233418822288513
early,mid_late,31,7,K,0.7706977128982544,64,0.7706977128982544
early,mid_late,31,7,V,0.6451449394226074,64,0.6451449394226074
early,mid_late,32,0,K,0.769766628742218,64,0.769766628742218
early,mid_late,32,0,V,0.6649341583251953,64,0.6649341583251953
early,mid_late,32,1,K,0.7990817427635193,64,0.7990817427635193
early,mid_late,32,1,V,0.6119700074195862,64,0.6119700074195862
early,mid_late,32,2,K,0.8535758256912231,64,0.8535758256912231
early,mid_late,32,2,V,0.640433669090271,64,0.640433669090271
early,mid_late,32,3,K,0.8463044762611389,64,0.8463044762611389
early,mid_late,32,3,V,0.6736229062080383,64,0.6736229062080383
early,mid_late,32,4,K,0.7406226992607117,64,0.7406226992607117
early,mid_late,32,4,V,0.7142220735549927,64,0.7142220735549927
early,mid_late,32,5,K,0.849698543548584,64,0.849698543548584
early,mid_late,32,5,V,0.6491947174072266,64,0.6491947174072266
early,mid_late,32,6,K,0.7579751014709473,64,0.7579751014709473
