layer,head,method,k,n_bits,bits_per_vector,eff_rank_K_90,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
34,5,subspace_k32,32,8,256,31.0,1399.6361322752482,29.242718287214558,8.16065656946325,0.8631614431886526,0.578125
34,5,subspace_k48,48,5,240,31.0,884.7078069610909,23.35082345664778,6.282985396376998,0.715703158416477,0.6484375
34,5,subspace_k64,64,4,256,31.0,636.4158755016896,19.872698413817098,5.604009334706609,0.7170806348259917,0.640625
34,5,full_dim,128,4,512,31.0,154.9774424531317,9.77258900531874,1.793348956956995,0.34935391290080375,0.81640625
34,5,subspace_k16,16,32,512,31.0,53648.11525742603,181.9476627241565,22.97038249279791,2.0,0.0
34,5,subspace_k32,32,16,512,31.0,1400.148025788334,29.247296584355155,8.180459522643003,0.8724722714978871,0.56640625
34,5,subspace_k48,48,11,528,31.0,858.1785643724832,22.962623744345166,6.280368769861867,0.7208071069918984,0.640625
34,5,subspace_k64,64,8,512,31.0,530.6768474677934,18.118203662641136,4.765667115116277,0.6112060412365414,0.69921875
34,5,full_dim,128,8,1024,31.0,0.5198535631026824,0.5677803223694684,0.0034572377378945707,0.01712611139694717,0.99609375
34,5,subspace_k16,16,64,1024,31.0,63198.42113003181,201.54674994912105,5.489708981737017,1.990687370211335,0.0
34,5,subspace_k32,32,32,1024,31.0,101909.90184184181,252.1944836089766,22.97038249279791,2.0,0.0
34,5,subspace_k48,48,21,1008,31.0,858.3129583532912,22.963818291313785,6.28133969326549,0.7205743376558633,0.640625
34,5,subspace_k64,64,16,1024,31.0,529.8143466753029,18.10425250845978,4.768564483420018,0.6154713393812664,0.69921875
34,6,full_dim,128,2,256,41.0,702.0190299594021,20.85769717265726,10.894763557431967,1.1871251590664644,0.41015625
34,6,subspace_k16,16,16,256,41.0,656.4753456528047,20.023204789412695,12.142780450059142,1.3800522858608253,0.30859375
34,6,subspace_k32,32,8,256,41.0,406.2558014505704,15.773888605910034,9.031681629549528,1.1018526042768872,0.4453125
34,6,subspace_k48,48,5,240,41.0,280.4185721045652,13.114362544519627,6.568542394593072,0.9291828763891112,0.5390625
34,6,subspace_k64,64,4,256,41.0,200.31646887169762,11.122446642008587,5.161746070027662,0.817274179534541,0.58984375
34,6,full_dim,128,4,512,41.0,28.169471399885992,4.180486178118056,0.645026712966295,0.29011341752134645,0.8515625
34,6,subspace_k16,16,32,512,41.0,14805.21006618432,95.44770814778153,22.92820255136556,1.9999999998234173,0.0
34,6,subspace_k32,32,16,512,41.0,405.9985719310432,15.771686975906682,9.020970806223215,1.1008972021085017,0.44140625
34,6,subspace_k48,48,11,528,41.0,274.37741050668285,12.958196148202962,6.37801611456884,0.9401492441151675,0.53125
34,6,subspace_k64,64,8,512,41.0,176.02610154876248,10.3820335633001,4.481166318483734,0.7401605679485967,0.6328125
34,6,full_dim,128,8,1024,41.0,0.09476420766544646,0.24174581374927667,0.0016148181638114996,0.014944905630349349,0.99609375
34,6,subspace_k16,16,64,1024,41.0,20030.71518140685,113.52953911472346,5.447529076473306,1.9885319332285332,0.0
34,6,subspace_k32,32,32,1024,41.0,13523.884283263968,92.06499494562664,22.928198336224014,1.9999995916757214,0.0
34,6,subspace_k48,48,21,1008,41.0,274.36659832857015,12.958169059156955,6.375781850161715,0.939894329008164,0.52734375
34,6,subspace_k64,64,16,1024,41.0,175.95987098322283,10.380188095995841,4.465383172080967,0.7387205649399031,0.62890625
34,7,full_dim,128,2,256,26.0,3096.7352091719704,43.732277785314146,11.340198881715331,1.086632481122721,0.4609375
34,7,subspace_k16,16,16,256,26.0,2085.144822055935,35.72593878973433,10.483557486872447,1.060000987408113,0.47265625
34,7,subspace_k32,32,8,256,26.0,940.1512882815712,23.838156194846533,6.78624207191214,0.805266668528863,0.59765625
34,7,subspace_k48,48,5,240,26.0,530.4167381344737,17.981844654805954,4.423612083451449,0.5919285046521463,0.703125
34,7,subspace_k64,64,4,256,26.0,422.7481365416235,16.108202988297226,3.2476509213805995,0.5156063336087331,0.74609375
34,7,full_dim,128,4,512,26.0,122.12671984328838,8.684465223414135,1.8513660039192048,0.33745272586422315,0.8359375
34,7,subspace_k16,16,32,512,26.0,69146.94046491697,206.11300425615815,22.974852741429785,2.0,0.0
34,7,subspace_k32,32,16,512,26.0,939.6162591078145,23.82802788867392,6.809192142687273,0.8013003376385792,0.59765625
34,7,subspace_k48,48,11,528,26.0,501.973331702864,17.46243819851601,4.406121796758812,0.6212630563266177,0.68359375
34,7,subspace_k64,64,8,512,26.0,303.88776177924126,13.575640000956255,2.8977444429326287,0.49968420572217337,0.74609375
34,7,full_dim,128,8,1024,26.0,0.44137752165593347,0.5221044889051623,0.004926941872782764,0.02176127123835113,0.98828125
34,7,subspace_k16,16,64,1024,26.0,91890.83687354634,244.03651613779857,5.4941792303688874,1.9905259338612855,0.0
34,7,subspace_k32,32,32,1024,26.0,78788.96591680424,218.04704940911353,22.97485274142977,1.9999999999999978,0.0
34,7,subspace_k48,48,21,1008,26.0,501.9140434010882,17.461770084117557,4.404593865974408,0.6211588425219845,0.68359375
34,7,subspace_k64,64,16,1024,26.0,303.273378514618,13.5615398947638,2.938126419369419,0.5018034565978384,0.75390625
35,0,full_dim,128,2,256,33.0,3889.9089315317533,48.85341351874333,13.432055277913848,1.2916730707156447,0.3515625
35,0,subspace_k16,16,16,256,33.0,3590.7646994881766,46.876241179952885,13.369146711823415,1.3014777726511566,0.3515625
35,0,subspace_k32,32,8,256,33.0,1774.9547610913799,32.919544618515516,9.904801278419413,1.0618463178418085,0.46875
35,0,subspace_k48,48,5,240,33.0,998.5870076113875,24.700620421190536,6.76995078148547,0.7988834493146229,0.59375
35,0,subspace_k64,64,4,256,33.0,640.8891910671348,19.78749883809494,5.741125854132649,0.6706466746390923,0.66796875
35,0,full_dim,128,4,512,33.0,149.30948968420125,9.594954338364076,1.5353290974858367,0.287434561047367,0.8515625
35,0,subspace_k16,16,32,512,33.0,63441.741599426794,196.45974324348296,22.989326936008705,1.9999999999999984,0.0
35,0,subspace_k32,32,16,512,33.0,1775.2838761895705,32.92540475950958,9.934450739033386,1.055938397653303,0.4765625
35,0,subspace_k48,48,11,528,33.0,972.4251944576654,24.342212412955963,6.760593545658625,0.7738883961428116,0.6171875
35,0,subspace_k64,64,8,512,33.0,492.70403557995166,17.31857918292956,4.4842051313923985,0.5716340979848427,0.7109375
35,0,full_dim,128,8,1024,33.0,0.5322204477631114,0.5696419050190763,0.004384712942374847,0.016981841516986278,0.98828125
35,0,subspace_k16,16,64,1024,33.0,82315.79866157772,223.83464956110308,5.508655633414614,1.991156061209322,0.0
35,0,subspace_k32,32,32,1024,33.0,65525.950750895245,200.3059982174094,22.98932914447551,2.0,0.0
35,0,subspace_k48,48,21,1008,33.0,972.4074777393748,24.341783391076987,6.757879142863971,0.77341748177845,0.6171875
35,0,subspace_k64,64,16,1024,33.0,492.6959127001759,17.317688010510302,4.489020825725335,0.5694232236438533,0.71484375
35,1,full_dim,128,2,256,33.0,2680.596372147603,40.70182121560785,13.426992563975682,1.3030439226645554,0.3515625
