n,T_h,rho,hamming_mean,hamming_std
2,0.001,0.0017333333333333335,0.34791666666666665,0.038583873286358615
2,0.001,0.0018666666666666666,0.3208333333333333,0.06808389432653414
2,0.001,0.002,0.32083333333333336,0.04841229182759272
2,0.003,0.0,0.5583333333333333,0.08079466429027213
2,0.003,0.00013333333333333334,0.58125,0.04202966875381669
2,0.003,0.0002666666666666667,0.5604166666666667,0.04559597630883186
2,0.003,0.0004,0.5583333333333333,0.05651941652604389
2,0.003,0.0005333333333333334,0.49583333333333335,0.032004773949452545
2,0.003,0.0006666666666666668,0.45625000000000004,0.03903123748998998
2,0.003,0.0008,0.45625000000000004,0.05586286532413302
2,0.003,0.0009333333333333333,0.4916666666666667,0.03435921354681384
2,0.003,0.0010666666666666667,0.44166666666666665,0.05773502691896258
2,0.003,0.0012000000000000001,0.4041666666666667,0.0715648501554903
2,0.003,0.0013333333333333335,0.3833333333333333,0.048591265790377515
2,0.003,0.0014666666666666667,0.40208333333333335,0.0467242947750121
2,0.003,0.0016,0.43333333333333335,0.04330127018922194
2,0.003,0.0017333333333333335,0.4083333333333333,0.05527707983925668
2,0.003,0.0018666666666666666,0.38541666666666663,0.04034357652299394
2,0.003,0.002,0.3729166666666667,0.03903123748999
2,0.01,0.0,0.5979166666666667,0.040343576522993925
2,0.01,0.00013333333333333334,0.5979166666666667,0.0411952498610108
2,0.01,0.0002666666666666667,0.575,0.030046260628866547
2,0.01,0.0004,0.6,0.05400617248673217
2,0.01,0.0005333333333333334,0.5895833333333333,0.055237806598178535
2,0.01,0.0006666666666666668,0.6145833333333333,0.06370368688091939
2,0.01,0.0008,0.5729166666666666,0.028792239502260918
2,0.01,0.0009333333333333333,0.58125,0.054922609693600244
2,0.01,0.0010666666666666667,0.5604166666666667,0.04325112394172226
2,0.01,0.0012000000000000001,0.6083333333333334,0.03227486121839512
2,0.01,0.0013333333333333335,0.55625,0.05064685742143007
2,0.01,0.0014666666666666667,0.5729166666666666,0.05769742676719261
2,0.01,0.0016,0.5791666666666666,0.02602082499332664
2,0.01,0.0017333333333333335,0.5604166666666667,0.03220755173695897
2,0.01,0.0018666666666666666,0.5583333333333333,0.05590169943749475
2,0.01,0.002,0.5395833333333333,0.05064685742143006
2,0.03,0.0,0.6187499999999999,0.05492260969360028
2,0.03,0.00013333333333333334,0.6104166666666666,0.03813126087025652
2,0.03,0.0002666666666666667,0.6208333333333333,0.046210568776705915
2,0.03,0.0004,0.6166666666666667,0.060092521257733136
2,0.03,0.0005333333333333334,0.6229166666666667,0.03813126087025649
2,0.03,0.0006666666666666668,0.6416666666666666,0.03818813079129865
2,0.03,0.0008,0.6125,0.02602082499332666
2,0.03,0.0009333333333333333,0.60625,0.023477974311634685
2,0.03,0.0010666666666666667,0.61875,0.03578242507774514
2,0.03,0.0012000000000000001,0.6354166666666667,0.033785989042139274
2,0.03,0.0013333333333333335,0.625,0.027638539919628308
2,0.03,0.0014666666666666667,0.6125,0.04912427551063165
2,0.03,0.0016,0.6229166666666667,0.03529390488770294
2,0.03,0.0017333333333333335,0.6291666666666667,0.05187458165828637
2,0.03,0.0018666666666666666,0.6083333333333334,0.028867513459481294
2,0.03,0.002,0.5833333333333333,0.03227486121839514
2,0.1,0.0,0.6229166666666667,0.03529390488770294
2,0.1,0.00013333333333333334,0.5895833333333333,0.026269833776913512
2,0.1,0.0002666666666666667,0.6270833333333333,0.03326816546389856
2,0.1,0.0004,0.5958333333333333,0.04389855730355308
2,0.1,0.0005333333333333334,0.63125,0.03767321108338567
2,0.1,0.0006666666666666668,0.5895833333333333,0.0399109251263917
2,0.1,0.0008,0.6020833333333333,0.022726483572157726
2,0.1,0.0009333333333333333,0.5979166666666667,0.04443901876604487
2,0.1,0.0010666666666666667,0.5916666666666667,0.045643546458763826
2,0.1,0.0012000000000000001,0.5770833333333334,0.0362643649698525
2,0.1,0.0013333333333333335,0.5875000000000001,0.03796013991310123
2,0.1,0.0014666666666666667,0.5854166666666667,0.02420614591379634
2,0.1,0.0016,0.5854166666666666,0.02114352409394214
2,0.1,0.0017333333333333335,0.5979166666666667,0.02938903329097059
2,0.1,0.0018666666666666666,0.6208333333333333,0.02602082499332667
2,0.1,0.002,0.5833333333333333,0.023570226039551567
4,0.001,0.0,0.5020833333333333,0.0411952498610108
4,0.001,0.00013333333333333334,0.45833333333333337,0.05270462766947301
4,0.001,0.0002666666666666667,0.4083333333333333,0.043301270189221946
4,0.001,0.0004,0.3645833333333333,0.08637671850678286
4,0.001,0.0005333333333333334,0.3354166666666667,0.06260408000548633
