layer,head,method,k,n_bits_per_dim,bits_per_vector,budget,K_mse_logits,K_mae_logits,K_kl_divergence,K_l1_attention,K_top1_agreement
9,5,oracle,64,4,256,2bit,0.0005184638397914114,0.018166866071906998,0.0002512087671739223,0.01789373471226282,0.8642578125
9,5,transfer,64,4,256,2bit,0.0018839009269945922,0.03357628765371494,0.0005116630218977595,0.024204367783900484,0.7607421875
9,5,full_dim,128,2,256,2bit,0.0050234071378573875,0.05566823056150201,0.0025479622254961907,0.055893125244401584,0.51953125
9,5,oracle,64,8,512,4bit,9.54540909449574e-05,0.007737736770412962,4.04110524587136e-05,0.007007182398434672,0.8994140625
9,5,transfer,64,8,512,4bit,0.0016117890390319899,0.03122336342082811,0.00037492057512546586,0.020289727697907826,0.8369140625
9,5,full_dim,128,4,512,4bit,0.0002031029072763299,0.011152118848990155,0.0001011525289643302,0.011120505798846884,0.8798828125
9,6,oracle,64,4,256,2bit,0.00018056924766801787,0.010590646431570918,9.059761133101237e-05,0.010610056892583406,0.7734375
9,6,transfer,64,4,256,2bit,0.0003984756489287063,0.015640255846709354,0.00016695474342294948,0.014306488804008408,0.6923828125
9,6,full_dim,128,2,256,2bit,0.0011854946628523822,0.027240825606057617,0.000588884389965451,0.027173336078730098,0.61328125
9,6,oracle,64,8,512,4bit,0.00011418355582262954,0.008282285843059897,5.749688224684998e-05,0.008310836978824085,0.814453125
9,6,transfer,64,8,512,4bit,0.00033324759536091606,0.014222079143924744,0.00013439403648197898,0.012762203983289096,0.7001953125
9,6,full_dim,128,4,512,4bit,4.5676309213446536e-05,0.005350618519655043,2.283427329718543e-05,0.0053501866194362695,0.91796875
9,7,oracle,64,4,256,2bit,0.00023242792264943553,0.01215436791384251,0.00010519633444979414,0.011557022112592949,0.8291015625
9,7,transfer,64,4,256,2bit,0.0003444536579098494,0.014663998625875193,0.00016294353529237794,0.014248767271983308,0.8037109375
9,7,full_dim,128,2,256,2bit,0.001118123458764427,0.026565719173941564,0.0005577210531279339,0.02653508280746679,0.6806640625
9,7,oracle,64,8,512,4bit,0.00016350326185718964,0.01013585455130059,7.015703966491689e-05,0.00938891179984212,0.876953125
9,7,transfer,64,8,512,4bit,0.0002884447199005125,0.013377059257586994,0.00013483239716223516,0.012917002889223293,0.8369140625
9,7,full_dim,128,4,512,4bit,4.427230246010209e-05,0.0052915774322351596,2.2128869191226703e-05,0.0052907271101708675,0.9189453125
10,0,oracle,64,4,256,2bit,0.0021695615472201416,0.03651304487928203,0.0011384104708969177,0.03727922446625666,0.7109375
10,0,transfer,64,4,256,2bit,0.008294091381534389,0.06707530353331753,0.0035487412913995215,0.06275193712932806,0.5107421875
10,0,full_dim,128,2,256,2bit,0.008827003049251497,0.07412432873087108,0.004403292894434465,0.07391251079479572,0.5400390625
10,0,oracle,64,8,512,4bit,0.0017537460797186419,0.0324883102006765,0.0009306493585015744,0.03335644119136132,0.7421875
10,0,transfer,64,8,512,4bit,0.00794480652809114,0.0652441854249119,0.0033801371490395867,0.06099253689000958,0.525390625
10,0,full_dim,128,4,512,4bit,0.00034819464121191394,0.01477658992133944,0.00017437298531009548,0.014776701586718536,0.880859375
10,1,oracle,64,4,256,2bit,0.00042442211175029655,0.016279116071792762,0.00020205298496311902,0.015833011909230768,0.814453125
10,1,transfer,64,4,256,2bit,0.0012147320744470991,0.025530348702070868,0.0005603061699666737,0.02323966069423323,0.7294921875
10,1,full_dim,128,2,256,2bit,0.0036181920734213845,0.04702805407499047,0.0017996675400247914,0.04689304397293322,0.6181640625
10,1,oracle,64,8,512,4bit,0.00016639023073925722,0.010165235987398675,7.197004754760983e-05,0.009244679691415703,0.8759765625
10,1,transfer,64,8,512,4bit,0.0009922118455921326,0.022538522371758987,0.00044431389267003425,0.019640370417313813,0.7568359375
10,1,full_dim,128,4,512,4bit,0.0001389210822427416,0.009257916905052139,6.942439823367423e-05,0.009254522923752546,0.9072265625
10,2,oracle,64,4,256,2bit,0.0030055478713508907,0.04324531175372731,0.0015474724711495385,0.04391896804328682,0.732421875
10,2,transfer,64,4,256,2bit,0.005163119058765744,0.05311644004040113,0.0029339948169034872,0.05637167292187156,0.6201171875
10,2,full_dim,128,2,256,2bit,0.016601887568915844,0.10135359514615694,0.008866321523195038,0.10526662627119496,0.3994140625
10,2,oracle,64,8,512,4bit,0.0020878370374506883,0.03572476780605337,0.001075701154427589,0.036326723914886734,0.7841796875
10,2,transfer,64,8,512,4bit,0.004246362672788216,0.04658916724458653,0.0024836524059327425,0.05047264017308287,0.666015625
10,2,full_dim,128,4,512,4bit,0.0006982235242645615,0.02073153234346892,0.0003427749700602238,0.020568526159446043,0.87109375
10,3,oracle,64,4,256,2bit,0.000633190086048558,0.019831571547405176,0.0003296494357069316,0.02015589980870436,0.794921875
10,3,transfer,64,4,256,2bit,0.0017195429856825448,0.03287637710056436,0.0005818683638457812,0.026321924595679048,0.7861328125
10,3,full_dim,128,2,256,2bit,0.004995022824943421,0.05512712062214064,0.0025379071284848532,0.055464591708142,0.71484375
10,3,oracle,64,8,512,4bit,0.0003220381912000742,0.013900401149059998,0.0001706732734349627,0.014260844683563024,0.859375
10,3,transfer,64,8,512,4bit,0.0014587604658903553,0.030454850445825115,0.00044838465437958635,0.022770709030081902,0.7763671875
10,3,full_dim,128,4,512,4bit,0.00019949666951093727,0.01106080778151315,0.00010052448369095292,0.011098899065301218,0.9111328125
10,4,oracle,64,4,256,2bit,0.0016638893994083818,0.032125174445674025,0.0008525773638125322,0.03246690672831942,0.7265625
10,4,transfer,64,4,256,2bit,0.005415318754715978,0.05513747392664116,0.002884370931798758,0.056128901924233573,0.5263671875
10,4,full_dim,128,2,256,2bit,0.009900997159299969,0.07794201839994117,0.00483857813693145,0.0770716338582953,0.5
10,4,oracle,64,8,512,4bit,0.0011256656824667369,0.026060216217266223,0.0005864724329221189,0.0265919636165935,0.763671875
10,4,transfer,64,8,512,4bit,0.004940655771770528,0.052096446493020934,0.0026528864194636835,0.05328148535105217,0.57421875
10,4,full_dim,128,4,512,4bit,0.00038637564414113377,0.015404532058113637,0.00019215415801290857,0.015370449252076873,0.857421875
10,5,oracle,64,4,256,2bit,0.003051170958382278,0.04368385963401178,0.0015276338385541983,0.043378375539718114,0.77734375
10,5,transfer,64,4,256,2bit,0.005336008485873406,0.05639379544277522,0.0027117852193062533,0.05671363637571524,0.5869140625
10,5,full_dim,128,2,256,2bit,0.0203143023558046,0.11291868640659486,0.00988257405310385,0.1117384090642089,0.4794921875
10,5,oracle,64,8,512,4bit,0.0019736878474527087,0.03513776553877174,0.0009743277189806355,0.034576188762727146,0.798828125
10,5,transfer,64,8,512,4bit,0.004085086819916324,0.04861254286049599,0.0020856156706103943,0.04899513360112486,0.638671875
10,5,full_dim,128,4,512,4bit,0.0007938068897408014,0.022295519523145638,0.0003925076752820364,0.022122132325965493,0.8935546875
10,6,oracle,64,4,256,2bit,0.002252081428730344,0.03738864285565352,0.0011022822576128293,0.036961473893388296,0.7197265625
10,6,transfer,64,4,256,2bit,0.00677031749592051,0.0629791875276446,0.002644596187763616,0.05409874536840703,0.5888671875
10,6,full_dim,128,2,256,2bit,0.016218354134703176,0.09930677861494408,0.008367627020947812,0.10052126919580771,0.435546875
