method,target_sparsity,actual_sparsity,test_mse_mean,test_mse_std,seed
Mag+Retrain,0.5,0.5,0.33654775302035933,0.0,0
Mag+Retrain,0.5,0.5,0.15593515993406645,0.0,1
Mag+Retrain,0.5,0.5,0.1702721296348764,0.0,2
Mag+Retrain,0.5,0.5,0.23004572013361793,0.0,3
Mag+Retrain,0.5,0.5,0.18908875917611337,0.0,4
Mag+Retrain,0.5,0.5,0.2463971707935992,0.0,5
Mag+Retrain,0.5,0.5,0.271413127454705,0.0,6
Mag+Retrain,0.5,0.5,0.2522546458206877,0.0,7
Mag+Retrain,0.65,0.65,0.43244876280656963,0.0,0
Mag+Retrain,0.65,0.65,0.179618488752093,0.0,1
Mag+Retrain,0.65,0.65,0.24116512455596037,0.0,2
Mag+Retrain,0.65,0.65,0.2514542101996597,0.0,3
Mag+Retrain,0.65,0.65,0.2309456181227064,0.0,4
Mag+Retrain,0.65,0.65,0.24466038107200933,0.0,5
Mag+Retrain,0.65,0.65,0.27401504520275044,0.0,6
Mag+Retrain,0.65,0.65,0.26631185594197504,0.0,7
Mag+Retrain,0.75,0.75,0.46039985720346077,0.0,0
Mag+Retrain,0.75,0.75,0.33093947792797546,0.0,1
Mag+Retrain,0.75,0.75,0.25976527199098687,0.0,2
Mag+Retrain,0.75,0.75,0.29579526001498757,0.0,3
Mag+Retrain,0.75,0.75,0.2817429270877394,0.0,4
Mag+Retrain,0.75,0.75,0.3213259629764183,0.0,5
Mag+Retrain,0.75,0.75,0.31954780213052797,0.0,6
Mag+Retrain,0.75,0.75,0.2777644721251557,0.0,7
Mag+Retrain,0.85,0.85,0.516410257261508,0.0,0
Mag+Retrain,0.85,0.85,0.8457207052799417,0.0,1
Mag+Retrain,0.85,0.85,0.40631788813078695,0.0,2
Mag+Retrain,0.85,0.85,0.6871701354172387,0.0,3
Mag+Retrain,0.85,0.85,0.6960378775404418,0.0,4
Mag+Retrain,0.85,0.85,1.4690419758919548,0.0,5
Mag+Retrain,0.85,0.85,0.6003735502838482,0.0,6
Mag+Retrain,0.85,0.85,0.5872307717842697,0.0,7
Mag+Retrain,0.9,0.9,0.5011451490745124,0.0,0
Mag+Retrain,0.9,0.9,0.8490466390847018,0.0,1
Mag+Retrain,0.9,0.9,0.46752704314732313,0.0,2
Mag+Retrain,0.9,0.9,0.8366712048550666,0.0,3
Mag+Retrain,0.9,0.9,0.9736125453236697,0.0,4
Mag+Retrain,0.9,0.9,1.4699790147629916,0.0,5
Mag+Retrain,0.9,0.9,0.673430185190623,0.0,6
Mag+Retrain,0.9,0.9,0.7137048563671119,0.0,7
L1,0.0,0.0,0.3066216575878796,0.0,0
L1,0.0,0.0,0.1496295564036804,0.0,1
L1,0.0,0.0,0.14272937431508861,0.0,2
L1,0.0,0.0,0.21544598201658635,0.0,3
L1,0.0,0.0,0.17828811001537748,0.0,4
L1,0.0,0.0,0.2250084701765408,0.0,5
L1,0.0,0.0,0.2634682649150269,0.0,6
L1,0.0,0.0,0.21608178836425088,0.0,7
L1,0.25,0.24086538461538462,0.31277711956382404,0.0,0
L1,0.25,0.23798076923076922,0.1775513021159374,0.0,1
L1,0.25,0.23509615384615384,0.13199587988304654,0.0,2
L1,0.25,0.23413461538461539,0.19743839991148657,0.0,3
L1,0.25,0.24326923076923077,0.17139715383283802,0.0,4
L1,0.25,0.23557692307692307,0.19437104006491607,0.0,5
L1,0.25,0.25432692307692306,0.23679977689396411,0.0,6
L1,0.25,0.26971153846153845,0.21415127089269254,0.0,7
L1,0.5,0.48173076923076924,0.3423993764840335,0.0,0
L1,0.5,0.5043269230769231,0.179161455723433,0.0,1
L1,0.5,0.51875,0.1931198111143051,0.0,2
L1,0.5,0.49375,0.20416373122836262,0.0,3
L1,0.5,0.5139423076923076,0.18109258098710096,0.0,4
L1,0.5,0.4971153846153846,0.22544597192908553,0.0,5
L1,0.5,0.4971153846153846,0.2359480357179466,0.0,6
L1,0.5,0.5067307692307692,0.2567759557826977,0.0,7
L1,0.65,0.666826923076923,0.2921676165940458,0.0,0
L1,0.65,0.6389423076923076,0.20644143040824167,0.0,1
L1,0.65,0.645673076923077,0.15122333184324108,0.0,2
L1,0.65,0.6384615384615384,0.2009404315168224,0.0,3
L1,0.65,0.6552884615384615,0.25033573225740585,0.0,4
L1,0.65,0.6447115384615385,0.18845102487046997,0.0,5
L1,0.65,0.6538461538461539,0.27041116408295834,0.0,6
L1,0.65,0.6677884615384615,0.21805222232101867,0.0,7
L1,0.75,0.7413461538461539,0.22345400168973029,0.0,0
L1,0.75,0.7408653846153846,0.24003292624281092,0.0,1
L1,0.75,0.75625,0.1493793229635844,0.0,2
L1,0.75,0.7620192307692307,0.20530756952039253,0.0,3
L1,0.75,0.7408653846153846,0.21753433092969882,0.0,4
L1,0.75,0.7485576923076923,0.20750971472358729,0.0,5
L1,0.75,0.7615384615384615,0.321909783039117,0.0,6
L1,0.75,0.7302884615384615,0.22983929141273737,0.0,7
L1,0.85,0.8572115384615384,0.29350128727577196,0.0,0
L1,0.85,0.8403846153846154,0.4813925419814701,0.0,1
L1,0.85,0.8408653846153846,0.20271220637377102,0.0,2
L1,0.85,0.8341346153846154,0.3017729300397136,0.0,3
L1,0.85,0.8572115384615384,0.2619296553960652,0.0,4
L1,0.85,0.8649038461538462,0.5252971299668809,0.0,5
L1,0.85,0.8653846153846154,0.4766818738612816,0.0,6
L1,0.85,0.8615384615384616,0.4537360460937057,0.0,7
L1,0.9,0.8980769230769231,0.34489111468695427,0.0,0
L1,0.9,0.9115384615384615,0.5052349169152311,0.0,1
L1,0.9,0.9120192307692307,0.2480611633896086,0.0,2
L1,0.9,0.8870192307692307,0.38745433159374354,0.0,3
L1,0.9,0.8875,0.4467369458518436,0.0,4
