layer,head,token_range,top1_match,top5_jaccard,attn_kl,n_tokens
3,32,early,0.6473684210526316,0.711152882205514,1.2873952982772607e-05,190
3,32,late,0.7916666666666666,0.6928943452380953,1.0912204743362963e-05,192
3,33,early,0.5578947368421052,0.7889724310776943,1.3809327356284484e-05,190
3,33,late,0.5260416666666666,0.6750372023809526,1.3291703908180352e-05,192
3,34,early,0.7473684210526316,0.706265664160401,1.0275480235577561e-05,190
3,34,late,0.4895833333333333,0.5062210648148149,9.110362043429632e-06,192
3,35,early,0.6526315789473685,0.5182957393483709,2.5492730856058188e-05,190
3,35,late,0.375,0.4955770502645503,2.236964792245999e-05,192
3,36,early,0.4263157894736842,0.4513575605680869,3.089434540015645e-05,190
3,36,late,0.3958333333333333,0.4547164351851852,2.9838221962563694e-05,192
3,37,early,0.5789473684210527,0.5798663324979114,1.3971095540910028e-05,190
3,37,late,0.75,0.5471436838624338,1.1729567631846294e-05,192
3,38,early,0.6368421052631579,0.5472848788638263,3.3399282983737066e-05,190
3,38,late,0.5572916666666666,0.5375330687830688,3.0457274988293648e-05,192
3,39,early,0.46842105263157896,0.4979949874686717,2.1269870558171533e-05,190
3,39,late,0.5625,0.513661541005291,1.7895745259011164e-05,192
4,0,early,0.7578947368421053,0.7154761904761906,0.00011467363219708204,190
4,0,late,0.7864583333333334,0.4768311838624339,0.00010793490946525708,192
4,1,early,0.4631578947368421,0.6233291562238932,7.408583041979e-05,190
4,1,late,0.234375,0.3265955687830688,6.574547296622768e-05,192
4,2,early,0.7631578947368421,0.5944235588972432,7.688467303523794e-05,190
4,2,late,0.84375,0.4298528439153439,6.567332457052544e-05,192
4,3,early,0.6526315789473685,0.6453634085213033,8.759676711633801e-05,190
4,3,late,0.6822916666666666,0.5091972552910052,8.986692409962416e-05,192
4,4,early,0.6,0.7440058479532166,7.840494072297588e-05,190
4,4,late,0.2552083333333333,0.6040426587301587,6.40808793832548e-05,192
4,5,early,0.5421052631578948,0.5597744360902256,7.747102790744975e-05,190
4,5,late,0.4479166666666667,0.4281167328042328,9.640294592827559e-05,192
4,6,early,0.6684210526315789,0.6633458646616541,7.000883488217369e-05,190
4,6,late,0.6770833333333334,0.6146040013227513,7.809855014784262e-05,192
4,7,early,0.7315789473684211,0.7422305764411027,0.0001293183013331145,190
4,7,late,0.7760416666666666,0.6824776785714285,0.00014016515342518687,192
4,8,early,0.6105263157894737,0.6022974101921471,5.4211886890698224e-05,190
4,8,late,0.53125,0.589823082010582,7.000574987614527e-05,192
4,9,early,0.6684210526315789,0.643859649122807,7.671041385037825e-05,190
4,9,late,0.9635416666666666,0.5240368716931217,8.207272185245529e-05,192
4,10,early,0.7789473684210526,0.8187969924812032,9.938743460224941e-05,190
4,10,late,0.640625,0.7021949404761906,9.763304115040228e-05,192
4,11,early,0.4368421052631579,0.5098370927318296,9.86657032626681e-05,190
4,11,late,0.3958333333333333,0.5072544642857143,9.12589966901578e-05,192
4,12,early,0.3684210526315789,0.6544903926482875,0.00014868163270875812,190
4,12,late,0.2760416666666667,0.3643559854497354,0.00016096908075269312,192
4,13,early,0.5736842105263158,0.5359440267335004,0.0002188982325606048,190
4,13,late,0.19791666666666666,0.4190021494708995,0.0002168494975194335,192
4,14,early,0.7736842105263158,0.8518796992481205,8.759000775171444e-05,190
4,14,late,0.71875,0.832093253968254,8.225272176787257e-05,192
4,15,early,0.6631578947368421,0.5894736842105263,7.143520633690059e-05,190
4,15,late,0.578125,0.5754174933862434,6.959003076190129e-05,192
4,16,early,0.8105263157894737,0.699185463659148,0.00011504155554575846,190
4,16,late,0.390625,0.5060557208994709,0.00012134166900068521,192
4,17,early,0.5631578947368421,0.6039473684210527,6.8693894718308e-05,190
4,17,late,0.6458333333333334,0.5642981150793651,6.978827150305733e-05,192
4,18,early,0.8473684210526315,0.6420008354218881,7.365357305388898e-05,190
4,18,late,0.7083333333333334,0.6977306547619048,6.971991388127208e-05,192
4,19,early,0.6105263157894737,0.749561403508772,5.109573976369575e-05,190
4,19,late,0.5208333333333334,0.6197296626984127,4.5048025640426204e-05,192
4,20,early,0.5210526315789473,0.5878028404344193,4.760463343700394e-05,190
4,20,late,0.46875,0.43524718915343913,3.973111233790405e-05,192
4,21,early,0.45263157894736844,0.5590852130325815,5.395533662522212e-05,190
4,21,late,0.4583333333333333,0.4372519841269842,4.89025296701584e-05,192
4,22,early,0.9631578947368421,0.6854636591478697,0.00013239510008133948,190
4,22,late,0.796875,0.5545014880952381,0.00012123873602831736,192
4,23,early,0.8157894736842105,0.5713241436925648,7.568588625872508e-05,190
4,23,late,0.7239583333333334,0.4580233134920635,6.013146776240319e-05,192
4,24,early,0.49473684210526314,0.5369883040935672,4.291751247365028e-05,190
4,24,late,0.9270833333333334,0.6318204365079366,3.0630417313659564e-05,192
4,25,early,0.2631578947368421,0.41213450292397663,2.3690847228863277e-05,190
4,25,late,0.4739583333333333,0.36586474867724866,1.9713022993528284e-05,192
4,26,early,0.7578947368421053,0.5312656641604011,2.6098570742760785e-05,190
4,26,late,0.5104166666666666,0.4562665343915344,2.2633277694694698e-05,192
4,27,early,0.6947368421052632,0.5439431913116124,3.08672315441072e-05,190
4,27,late,0.7552083333333334,0.5465236441798942,3.212145747966133e-05,192
4,28,early,0.3526315789473684,0.4487468671679198,2.075856173178181e-05,190
4,28,late,0.4583333333333333,0.40571263227513227,1.7722841221257113e-05,192
4,29,early,0.7736842105263158,0.6954260651629074,4.144677222939208e-05,190
