layer,head,kv_type,method,k,n_bits,bits_per_vector,eff_rank_V_90,eff_rank_K_90,V_mse_logits,V_mae_logits,V_kl_divergence,V_l1_attention,V_top1_agreement
37,1,V,subspace_k64,64,16,1024,60.0,40.0,3734.186822623096,47.916105341133566,10.13644465731321,0.9867730545804998,0.51171875
37,2,V,full_dim,128,2,256,43.0,35.0,2223.6033414235194,35.53829977425083,12.328362409317624,1.21756128900393,0.39453125
37,2,V,subspace_k16,16,16,256,43.0,35.0,1400.0151952697443,28.10392619065508,12.07003969091351,1.3077262286759501,0.34375
37,2,V,subspace_k32,32,8,256,43.0,35.0,1063.9638600323306,24.61955273401164,10.526380954407145,1.1930956156337502,0.3984375
37,2,V,subspace_k48,48,5,240,43.0,35.0,860.7005335912829,22.045805142889005,9.499563472526795,1.0687239641391537,0.46875
37,2,V,subspace_k64,64,4,256,43.0,35.0,723.1278325557049,20.206678294046846,8.37266812938684,1.0064228110630513,0.4921875
37,2,V,full_dim,128,4,512,43.0,35.0,80.47708055897782,6.756088310490738,1.4746678968418077,0.35369786114878043,0.82421875
37,2,V,subspace_k16,16,32,512,43.0,35.0,56239.910583801655,168.99337797710152,22.816498800552203,1.9999912003209475,0.0
37,2,V,subspace_k32,32,16,512,43.0,35.0,1064.5580570192874,24.619191980157186,10.598886653747977,1.2020145082917284,0.3984375
37,2,V,subspace_k48,48,11,528,43.0,35.0,847.7557572153614,21.913751853795283,9.460826356209864,1.067166388867184,0.46875
37,2,V,subspace_k64,64,8,512,43.0,35.0,636.8583600709176,18.983532065957654,8.23538454341022,1.0312943485329962,0.48046875
37,2,V,full_dim,128,8,1024,43.0,35.0,0.3211708410997087,0.4276690576251922,0.004876980523027971,0.023884261663432,0.984375
37,2,V,subspace_k16,16,64,1024,43.0,35.0,77089.85610986777,210.5697928738793,5.459684950963007,1.9893531922316936,0.0
37,2,V,subspace_k32,32,32,1024,43.0,35.0,46690.325490654075,160.06129619107412,22.940010980407443,1.9999698177040852,0.0
37,2,V,subspace_k48,48,21,1008,43.0,35.0,847.6815742629044,21.91316336343587,9.462266732744881,1.067479047342475,0.46875
37,2,V,subspace_k64,64,16,1024,43.0,35.0,636.4343710001245,18.984750565753636,8.295335187333231,1.0404815751881804,0.4765625
37,3,V,full_dim,128,2,256,61.0,33.0,10397.610339317236,80.65721146054378,12.382601661339152,1.1315335168909986,0.4296875
37,3,V,subspace_k16,16,16,256,61.0,33.0,13444.509623295104,91.48965302976615,16.246708194064436,1.4621926890756345,0.26953125
37,3,V,subspace_k32,32,8,256,61.0,33.0,9542.88835123267,77.10655272691909,14.914943531499864,1.3874553466853474,0.3046875
